time_ps,eta_A,abs_eta_A,running_mean_A,running_abs_mean_A
8.400000,0.83156475,0.83156475,1.07162142,1.07162142
8.440000,0.83186053,0.83186053,1.07049047,1.07049047
8.480000,0.84482313,0.84482313,1.06943100,1.06943100
8.520000,0.86109686,0.86109686,1.06845748,1.06845748
8.560000,0.87081437,0.87081437,1.06753821,1.06753821
8.600000,0.85660608,0.85660608,1.06656167,1.06656167
8.640000,0.83819052,0.83819052,1.06550927,1.06550927
8.680000,0.80773757,0.80773757,1.06432683,1.06432683
8.720000,0.79797147,0.79797147,1.06311060,1.06311060
8.760000,0.79670336,0.79670336,1.06189965,1.06189965
8.800000,0.79014622,0.79014622,1.06067000,1.06067000
8.840000,0.80283088,0.80283088,1.05950856,1.05950856
8.880000,0.80982716,0.80982716,1.05838892,1.05838892
8.920000,0.79338274,0.79338274,1.05720585,1.05720585
8.960000,0.77162127,0.77162127,1.05593659,1.05593659
9.000000,0.77745893,0.77745893,1.05470439,1.05470439
9.040000,0.76575210,0.76575210,1.05343147,1.05343147
9.080000,0.77561238,0.77561238,1.05221296,1.05221296
9.120000,0.80689266,0.80689266,1.05114170,1.05114170
9.160000,0.80115363,0.80115363,1.05005479,1.05005479
9.200000,0.80380969,0.80380969,1.04898879,1.04898879
9.240000,0.78991828,0.78991828,1.04787211,1.04787211
9.280000,0.76522496,0.76522496,1.04665903,1.04665903
9.320000,0.75370084,0.75370084,1.04540708,1.04540708
9.360000,0.74549443,0.74549443,1.04413085,1.04413085
9.400000,0.71906337,0.71906337,1.04275345,1.04275345
9.440000,0.71153329,0.71153329,1.04135589,1.04135589
9.480000,0.70489761,0.70489761,1.03994220,1.03994220
9.520000,0.68821371,0.68821371,1.03847054,1.03847054
9.560000,0.69310564,0.69310564,1.03703152,1.03703152
9.600000,0.70722567,0.70722567,1.03566303,1.03566303
9.640000,0.70398600,0.70398600,1.03429246,1.03429246
9.680000,0.71244232,0.71244232,1.03296797,1.03296797
9.720000,0.72125828,0.72125828,1.03169048,1.03169048
9.760000,0.69939499,0.69939499,1.03033417,1.03033417
9.800000,0.68526004,0.68526004,1.02893143,1.02893143
9.840000,0.67769055,0.67769055,1.02750940,1.02750940
9.880000,0.66530282,0.66530282,1.02604889,1.02604889
9.920000,0.66592442,0.66592442,1.02460261,1.02460261
9.960000,0.66347630,0.66347630,1.02315810,1.02315810
10.000000,0.66823743,0.66823743,1.02174407,1.02174407
10.040000,0.68781693,0.68781693,1.02041897,1.02041897
10.080000,0.72978646,0.72978646,1.01927022,1.01927022
10.120000,0.73575450,0.73575450,1.01815402,1.01815402
10.160000,0.75666809,0.75666809,1.01712858,1.01712858
10.200000,0.77699906,0.77699906,1.01619058,1.01619058
10.240000,0.78722151,0.78722151,1.01529965,1.01529965
10.280000,0.78298918,0.78298918,1.01439922,1.01439922
10.320000,0.78105247,0.78105247,1.01349827,1.01349827
10.360000,0.79148901,0.79148901,1.01264438,1.01264438
10.400000,0.79813442,0.79813442,1.01182251,1.01182251
10.440000,0.80806525,0.80806525,1.01104481,1.01104481
10.480000,0.79989331,0.79989331,1.01024195,1.01024195
10.520000,0.79695357,0.79695357,1.00943404,1.00943404
10.560000,0.78533086,0.78533086,1.00858837,1.00858837
10.600000,0.76946868,0.76946868,1.00768942,1.00768942
